true_eta,scheme,prior_family,prior_strength,eta,posterior_weight
0.0,aggregate_daily,exponential,strong,2.0,0.00697611755214171
0.0,aggregate_daily,exponential,strong,2.25,0.004424251474962051
0.0,aggregate_daily,exponential,strong,2.5,0.0025830609260965123
0.0,aggregate_daily,exponential,strong,2.75,0.00991943140455495
0.0,aggregate_daily,exponential,strong,3.0,0.06666667950674605
0.0,aggregate_daily,exponential,strong,3.25,0.0018517808776036789
0.0,aggregate_daily,exponential,strong,3.5,5.50165077031287e-5
0.0,aggregate_daily,spike_slab,weak,0.0,0.3487574620763382
0.0,aggregate_daily,spike_slab,weak,0.25,0.09106263965013733
0.0,aggregate_daily,spike_slab,weak,0.5,0.08752219782540359
0.0,aggregate_daily,spike_slab,weak,0.75,0.0970741269661586
0.0,aggregate_daily,spike_slab,weak,1.0,0.08044042752644529
0.0,aggregate_daily,spike_slab,weak,1.25,0.07539744620242227
0.0,aggregate_daily,spike_slab,weak,1.5,0.00024220486262591857
0.0,aggregate_daily,spike_slab,weak,1.75,7.067907636655737e-5
0.0,aggregate_daily,spike_slab,weak,2.0,0.0335958457956882
0.0,aggregate_daily,spike_slab,weak,2.25,0.04095372348461763
0.0,aggregate_daily,spike_slab,weak,2.5,0.03160439375992428
0.0,aggregate_daily,spike_slab,weak,2.75,0.03704913406297703
0.0,aggregate_daily,spike_slab,weak,3.0,0.06666671025673111
0.0,aggregate_daily,spike_slab,weak,3.25,0.009096968688316078
0.0,aggregate_daily,spike_slab,weak,3.5,0.0004660397658478681
0.0,aggregate_daily,spike_slab,moderate,0.0,0.5335734609372721
0.0,aggregate_daily,spike_slab,moderate,0.25,0.05536097347538428
0.0,aggregate_daily,spike_slab,moderate,0.5,0.055107282095791445
0.0,aggregate_daily,spike_slab,moderate,0.75,0.06129561477947025
0.0,aggregate_daily,spike_slab,moderate,1.0,0.06239074719442619
0.0,aggregate_daily,spike_slab,moderate,1.25,0.04363575886410183
0.0,aggregate_daily,spike_slab,moderate,1.5,9.618299881067537e-5
0.0,aggregate_daily,spike_slab,moderate,1.75,5.4197086474224255e-5
0.0,aggregate_daily,spike_slab,moderate,2.0,0.02286286112993679
0.0,aggregate_daily,spike_slab,moderate,2.25,0.030894550964566732
0.0,aggregate_daily,spike_slab,moderate,2.5,0.02428974277066938
0.0,aggregate_daily,spike_slab,moderate,2.75,0.03457156886452816
0.0,aggregate_daily,spike_slab,moderate,3.0,0.06666670830225095
0.0,aggregate_daily,spike_slab,moderate,3.25,0.00874591892042888
0.0,aggregate_daily,spike_slab,moderate,3.5,0.00045443161588821064
0.0,aggregate_daily,spike_slab,strong,0.0,0.6924248362772321
0.0,aggregate_daily,spike_slab,strong,0.25,0.027697879769813607
0.0,aggregate_daily,spike_slab,strong,0.5,0.028991156068736135
0.0,aggregate_daily,spike_slab,strong,0.75,0.03193893704502569
0.0,aggregate_daily,spike_slab,strong,1.0,0.0416037363942642
0.0,aggregate_daily,spike_slab,strong,1.25,0.020881003048684323
0.0,aggregate_daily,spike_slab,strong,1.5,3.530505944299828e-5
0.0,aggregate_daily,spike_slab,strong,1.75,4.479268376873014e-5
0.0,aggregate_daily,spike_slab,strong,2.0,0.01413618255353909
0.0,aggregate_daily,spike_slab,strong,2.25,0.019812833108537525
0.0,aggregate_daily,spike_slab,strong,2.5,0.01607134831531797
0.0,aggregate_daily,spike_slab,strong,2.75,0.030836466099942842
0.0,aggregate_daily,spike_slab,strong,3.0,0.06666670739263335
0.0,aggregate_daily,spike_slab,strong,3.25,0.008430310219947855
0.0,aggregate_daily,spike_slab,strong,3.5,0.0004285059631134641
0.0,aggregate_weekly,half_normal,weak,0.0,0.15811668157857228
0.0,aggregate_weekly,half_normal,weak,0.25,0.1034373225048641
0.0,aggregate_weekly,half_normal,weak,0.5,0.12985911304684788
0.0,aggregate_weekly,half_normal,weak,0.75,0.12865460816390567
0.0,aggregate_weekly,half_normal,weak,1.0,0.08254784646414928
0.0,aggregate_weekly,half_normal,weak,1.25,0.13166830549842876
