beta,loglik,logprior,logpost,posterior_weight
0.010000000000000004,-14460.879290247734,0.0,-14460.879290247734,0.0
0.010030017270764148,-14459.919602326749,0.0,-14459.919602326749,0.0
0.010060124645182704,-14458.956663429575,0.0,-14458.956663429575,0.0
0.010090322393722262,-14457.99046117752,0.0,-14457.99046117752,0.0
0.010120610787661247,-14457.020983138407,0.0,-14457.020983138407,0.0
0.01015099009909242,-14456.048216817408,0.0,-14456.048216817408,0.0
0.01018146060092528,-14455.072149666836,0.0,-14455.072149666836,0.0
0.010212022566888532,-14454.092769090394,0.0,-14454.092769090394,0.0
0.010242676271532516,-14453.110062415162,0.0,-14453.110062415162,0.0
0.010273421990231723,-14452.124016930013,0.0,-14452.124016930013,0.0
0.01030425999918723,-14451.134619849594,0.0,-14451.134619849594,0.0
0.010335190575429214,-14450.141858339479,0.0,-14450.141858339479,0.0
0.010366213996819381,-14449.145719497234,0.0,-14449.145719497234,0.0
0.01039733054205354,-14448.146190367364,0.0,-14448.146190367364,0.0
0.010428540490664051,-14447.143257935588,0.0,-14447.143257935588,0.0
0.010459844123022371,-14446.13690912412,0.0,-14446.13690912412,0.0
0.010491241720341521,-14445.127130788225,0.0,-14445.127130788225,0.0
0.010522733564678676,-14444.1139097439,0.0,-14444.1139097439,0.0
0.010554319938937667,-14443.097232711212,0.0,-14443.097232711212,0.0
0.010586001126871516,-14442.077086388734,0.0,-14442.077086388734,0.0
0.010617777413085009,-14441.05345737946,0.0,-14441.05345737946,0.0
0.010649649083037206,-14440.026332242558,0.0,-14440.026332242558,0.0
0.01068161642304407,-14438.995697463833,0.0,-14438.995697463833,0.0
0.010713679720280993,-14437.961539479878,0.0,-14437.961539479878,0.0
0.010745839262785401,-14436.923844650091,0.0,-14436.923844650091,0.0
0.0107780953394593,-14435.882599277855,0.0,-14435.882599277855,0.0
0.010810448240071931,-14434.837789599651,0.0,-14434.837789599651,0.0
0.01084289825526233,-14433.789401786473,0.0,-14433.789401786473,0.0
0.010875445676541967,-14432.737421943883,0.0,-14432.737421943883,0.0
0.010908090796297317,-14431.681836117838,0.0,-14431.681836117838,0.0
0.010940833907792548,-14430.622630278065,0.0,-14430.622630278065,0.0
0.01097367530517212,-14429.559790340638,0.0,-14429.559790340638,0.0
0.011006615283463445,-14428.493302151486,0.0,-14428.493302151486,0.0
0.011039654138579493,-14427.423151477764,0.0,-14427.423151477764,0.0
0.011072792167321517,-14426.349324035122,0.0,-14426.349324035122,0.0
0.011106029667381674,-14425.271805458588,0.0,-14425.271805458588,0.0
0.011139366937345714,-14424.190581331859,0.0,-14424.190581331859,0.0
0.01117280427669567,-14423.105637153938,0.0,-14423.105637153938,0.0
0.011206341985812504,-14422.016958361648,0.0,-14422.016958361648,0.0
0.011239980365978878,-14420.92453032821,0.0,-14420.92453032821,0.0
0.011273719719381802,-14419.828338339163,0.0,-14419.828338339163,0.0
0.011307560349115387,-14418.728367632282,0.0,-14418.728367632282,0.0
0.011341502559183515,-14417.624603353523,0.0,-14417.624603353523,0.0
0.011375546654502638,-14416.51703060089,0.0,-14416.51703060089,0.0
0.011409692940904473,-14415.405634383349,0.0,-14415.405634383349,0.0
0.011443941725138771,-14414.290399637443,0.0,-14414.290399637443,0.0
0.011478293314876027,-14413.17131124155,0.0,-14413.17131124155,0.0
0.011512748018710316,-14412.048353988364,0.0,-14412.048353988364,0.0
0.011547306146162015,-14410.92151260628,0.0,-14410.92151260628,0.0
0.011581968007680606,-14409.790771743335,0.0,-14409.790771743335,0.0
0.011616733914647424,-14408.656115977945,0.0,-14408.656115977945,0.0
0.011651604179378522,-14407.517529810824,0.0,-14407.517529810824,0.0
0.011686579115127426,-14406.37499767332,0.0,-14406.37499767332,0.0
0.011721659036087961,-14405.228503914406,0.0,-14405.228503914406,0.0
0.011756844257397094,-14404.078032810485,0.0,-14404.078032810485,0.0
0.011792135095137709,-14402.923568564636,0.0,-14402.923568564636,0.0
0.01182753186634152,-14401.765095299508,0.0,-14401.765095299508,0.0
0.011863034888991871,-14400.602597061106,0.0,-14400.602597061106,0.0
0.011898644482026616,-14399.436057818391,0.0,-14399.436057818391,0.0
0.011934360965340944,-14398.26546146174,0.0,-14398.26546146174,0.0
0.01197018465979031,-14397.090791803874,0.0,-14397.090791803874,0.0
0.012006115887193282,-14395.912032577307,0.0,-14395.912032577307,0.0
0.01204215497033445,-14394.729167435422,0.0,-14394.729167435422,0.0
0.01207830223296728,-14393.542179952701,0.0,-14393.542179952701,0.0
0.012114557999817093,-14392.351053622517,0.0,-14392.351053622517,0.0
0.012150922596583937,-14391.15577185549,0.0,-14391.15577185549,0.0
0.012187396349945527,-14389.95631798153,0.0,-14389.95631798153,0.0
0.012223979587560153,-14388.752675250942,0.0,-14388.752675250942,0.0
0.012260672638069667,-14387.544826829446,0.0,-14387.544826829446,0.0
0.012297475831102413,-14386.332755798652,0.0,-14386.332755798652,0.0
0.012334389497276185,-14385.116445158474,0.0,-14385.116445158474,0.0
