beta,loglik,logprior,logpost,posterior_weight
0.010000000000000004,-656.389964107854,0.0,-656.389964107854,1.019201691988447e-292
0.010151295114813507,-656.1285730564098,0.0,-656.1285730564098,1.3236733563782094e-292
0.010304879250803643,-655.8628275014463,0.0,-655.8628275014463,1.7266036526901036e-292
0.010460787039742604,-655.592647259078,0.0,-655.592647259078,2.262197112551125e-292
0.01061905363736435,-655.3179503982143,0.0,-655.3179503982143,2.977349203391563e-292
0.010779714731291927,-655.0386531936065,0.0,-655.0386531936065,3.93665185953296e-292
0.01094280654908468,-654.7546700769025,0.0,-654.7546700769025,5.229489675345405e-292
0.01110836586640725,-654.4659135862843,0.0,-654.4659135862843,6.980148471372634e-292
0.011276430015322098,-654.172294314343,0.0,-654.172294314343,9.362285700597105e-292
0.011447036892707546,-653.873720854081,0.0,-653.873720854081,1.261974839262888e-291
0.011620224968803205,-653.5700997433958,0.0,-653.5700997433958,1.709667551716529e-291
0.011796033295884585,-653.2613354075104,0.0,-653.2613354075104,2.328125118064813e-291
0.01197450151706906,-652.947330099513,0.0,-652.947330099513,3.18696349586605e-291
0.012155669875254991,-652.6279838386295,0.0,-652.6279838386295,4.385987684933762e-291
0.012339579222196164,-652.3031943462238,0.0,-652.3031943462238,6.069063650373622e-291
0.012526271027713412,-651.9728569806981,0.0,-651.9728569806981,8.444722585045759e-291
0.012715787389045696,-651.6368646684436,0.0,-651.6368646684436,1.1816939020987335e-290
0.01290817104034267,-651.2951078340094,0.0,-651.2951078340094,1.6631372922942952e-290
0.013103465362300767,-650.9474743272726,0.0,-650.9474743272726,2.3545255931783847e-290
0.01330171439194516,-650.5938493473778,0.0,-650.5938493473778,3.353364735546383e-290
0.013502962832559735,-650.2341153644641,0.0,-650.2341153644641,4.8051978784344524e-290
0.013707256063767194,-649.8681520394977,0.0,-649.8681520394977,6.928626160543925e-290
0.013914640151761767,-649.4958361392096,0.0,-649.4958361392096,1.005406920528385e-289
0.014125161859696691,-649.1170414512931,0.0,-649.1170414512931,1.468420074467513e-289
0.014338868658228901,-648.7316386916236,0.0,-648.7316386916236,2.1588805062498955e-289
0.014555808736223148,-648.3394954134237,0.0,-648.3394954134237,3.1954664834983845e-289
0.014776031011618162,-647.9404759101293,0.0,-647.9404759101293,4.7624040091526315e-289
0.014999585142457226,-647.5344411143719,0.0,-647.5344411143719,7.1476767972731755e-289
0.015226521538085522,-647.1212484952978,0.0,-647.1212484952978,1.0804686762877947e-288
0.015456891370517013,-646.700751950761,0.0,-646.700751950761,1.645248523736596e-288
0.01569074658597322,-646.2728016959529,0.0,-646.2728016959529,2.523991825268285e-288
0.01592813991659666,-645.8372441481517,0.0,-645.8372441481517,3.901648880569285e-288
0.01616912489234136,-645.3939218069253,0.0,-645.3939218069253,6.07827898907388e-288
0.01641375585304341,-644.9426731299725,0.0,-644.9426731299725,9.544549626710275e-288
0.01666208796067411,-644.483332404149,0.0,-644.483332404149,1.5109308301077757e-287
0.016914177211778396,-644.0157296124049,0.0,-644.0157296124049,2.411692290790383e-287
0.01717008045010159,-643.5396902948427,0.0,-643.5396902948427,3.882068049117374e-287
0.017429855379407094,-643.0550354037401,0.0,-643.0550354037401,6.302982317344586e-287
0.017693560576488108,-642.5615811588876,0.0,-642.5615811588876,1.0324060582322309e-286
0.01796125550437605,-642.0591388867429,0.0,-642.0591388867429,1.7063120218547732e-286
0.018233000525748954,-641.5475148645371,0.0,-641.5475148645371,2.8461248044855905e-286
0.018508856916542738,-641.0265101509201,0.0,-641.0265101509201,4.792072858625495e-286
0.018788886879768242,-640.4959204138033,0.0,-640.4959204138033,8.146210110930099e-286
0.019073153559537478,-639.9555357512088,0.0,-639.9555357512088,1.3984330665607096e-285
