eta,alpha,loglik,logprior,logpost,posterior_weight
0.0,-4.399999999999835,-32965.991011544196,-0.0,-32965.991011544196,0.0
0.01,-4.400006254145836,-32913.187102466785,-1.0e-5,-32913.18711246679,0.0
0.02,-4.400045173846792,-32860.585174518834,-4.0e-5,-32860.58521451883,0.0
0.03,-4.400116964358887,-32808.1865295716,-9.0e-5,-32808.1866195716,0.0
0.04,-4.400221830091624,-32755.99246438778,-0.00016,-32755.992624387778,0.0
0.05,-4.400359974562633,-32704.004270336955,-0.00025000000000000006,-32704.004520336955,0.0
0.06,-4.400531600358448,-32652.22323310963,-0.00036,-32652.22359310963,0.0
0.07,-4.40073690908676,-32600.650632429093,-0.0004900000000000001,-32600.65112242909,0.0
0.08,-4.40097610133634,-32549.287741762055,-0.00064,-32549.288381762053,0.0
0.09,-4.4012493766301475,-32498.135828027458,-0.00081,-32498.13663802746,0.0
0.1,-4.401556933385251,-32447.19615130429,-0.0010000000000000002,-32447.19715130429,0.0
0.11,-4.401898968864231,-32396.469964537606,-0.0012100000000000001,-32396.471174537604,0.0
0.12,-4.402275679134249,-32345.95851324393,-0.00144,-32345.95995324393,0.0
0.13,-4.402687259020155,-32295.663035215228,-0.0016900000000000003,-32295.66472521523,0.0
0.14,-4.4031339020635585,-32245.58476022227,-0.0019600000000000004,-32245.586720222273,0.0
0.15,-4.40361580047508,-32195.724909717,-0.00225,-32195.727159717,0.0
0.16,-4.4041331450900145,-32146.08469653424,-0.00256,-32146.08725653424,0.0
0.17,-4.404686125326549,-32096.66532459319,-0.0028900000000000006,-32096.668214593188,0.0
0.18,-4.405274929138017,-32047.467988598088,-0.00324,-32047.471228598086,0.0
0.19,-4.405899742968558,-31998.493873738902,-0.0036100000000000004,-31998.4974837389,0.0
0.2,-4.4065607517130445,-31949.744155392043,-0.004000000000000001,-31949.748155392044,0.0
0.21,-4.407258138665071,-31901.21999882053,-0.00441,-31901.22440882053,0.0
0.22,-4.407992085478583,-31852.922558875016,-0.0048400000000000006,-31852.927398875017,0.0
