beta,loglik,logprior,logpost,posterior_weight
0.010000000000000004,-3651.441414698148,0.0,-3651.441414698148,0.0
0.010151295114813507,-3649.1380759469694,0.0,-3649.1380759469694,0.0
0.010304879250803643,-3646.800957150672,0.0,-3646.800957150672,0.0
0.010460787039742604,-3644.429574618002,0.0,-3644.429574618002,0.0
0.01061905363736435,-3642.0234380051465,0.0,-3642.0234380051465,0.0
0.010779714731291927,-3639.5820502191173,0.0,-3639.5820502191173,0.0
0.01094280654908468,-3637.1049073499926,0.0,-3637.1049073499926,0.0
0.01110836586640725,-3634.5914985748295,0.0,-3634.5914985748295,0.0
0.011276430015322098,-3632.041306073238,0.0,-3632.041306073238,0.0
0.011447036892707546,-3629.4538049431408,0.0,-3629.4538049431408,0.0
0.011620224968803205,-3626.8284631076035,0.0,-3626.8284631076035,0.0
0.011796033295884585,-3624.164741230989,0.0,-3624.164741230989,0.0
0.01197450151706906,-3621.4620926349603,0.0,-3621.4620926349603,0.0
0.012155669875254991,-3618.7199631937942,0.0,-3618.7199631937942,0.0
0.012339579222196164,-3615.9377912615537,0.0,-3615.9377912615537,0.0
0.012526271027713412,-3613.115007574045,0.0,-3613.115007574045,0.0
0.012715787389045696,-3610.2510351580117,0.0,-3610.2510351580117,0.0
0.01290817104034267,-3607.3452892369414,0.0,-3607.3452892369414,0.0
0.013103465362300767,-3604.3971771554648,0.0,-3604.3971771554648,0.0
0.01330171439194516,-3601.4060982712913,0.0,-3601.4060982712913,0.0
0.013502962832559735,-3598.371443884404,0.0,-3598.371443884404,0.0
0.013707256063767194,-3595.2925971069294,0.0,-3595.2925971069294,0.0
0.013914640151761767,-3592.1689328367893,0.0,-3592.1689328367893,0.0
0.014125161859696691,-3588.9998175957753,0.0,-3588.9998175957753,0.0
0.014338868658228901,-3585.7846094991874,0.0,-3585.7846094991874,0.0
0.014555808736223148,-3582.522658134183,0.0,-3582.522658134183,0.0
0.014776031011618162,-3579.2133044798,0.0,-3579.2133044798,0.0
0.014999585142457226,-3575.855880830767,0.0,-3575.855880830767,0.0
0.015226521538085522,-3572.4497107029442,0.0,-3572.4497107029442,0.0
0.015456891370517013,-3568.9941087428833,0.0,-3568.9941087428833,0.0
0.01569074658597322,-3565.4883806533085,0.0,-3565.4883806533085,0.0
0.01592813991659666,-3561.931823114149,0.0,-3561.931823114149,0.0
0.01616912489234136,-3558.323723695775,0.0,-3558.323723695775,0.0
0.01641375585304341,-3554.663360794492,0.0,-3554.663360794492,0.0
0.01666208796067411,-3550.9500035489154,0.0,-3550.9500035489154,0.0
0.016914177211778396,-3547.182911781359,0.0,-3547.182911781359,0.0
0.01717008045010159,-3543.361335927387,0.0,-3543.361335927387,0.0
0.017429855379407094,-3539.4845169529276,0.0,-3539.4845169529276,0.0
0.017693560576488108,-3535.551686348436,0.0,-3535.551686348436,0.0
