beta,loglik,logprior,logpost,posterior_weight
0.010000000000000004,-377.11925685973176,0.0,-377.11925685973176,8.553040976291737e-176
0.010151295114813507,-376.8858639928572,0.0,-376.8858639928572,1.0801443216173113e-175
0.010304879250803643,-376.6490436458954,0.0,-376.6490436458954,1.3687733999593e-175
0.010460787039742604,-376.4087466242671,0.0,-376.4087466242671,1.7405689315284982e-175
0.01061905363736435,-376.1649230543119,0.0,-376.1649230543119,2.221173371293249e-175
0.010779714731291927,-375.9175223733694,0.0,-375.9175223733694,2.8446393202365836e-175
0.01094280654908468,-375.66649332287506,0.0,-375.66649332287506,3.65634982181218e-175
0.01110836586640725,-375.41178393849725,0.0,-375.41178393849725,4.7170080820828606e-175
0.011276430015322098,-375.1533415415076,0.0,-375.1533415415076,6.108108279483135e-175
0.011447036892707546,-374.89111273016283,0.0,-374.89111273016283,7.939465265126911e-175
0.011620224968803205,-374.6250433701656,0.0,-374.6250433701656,1.035961719673978e-174
0.011796033295884585,-374.3550785860921,0.0,-374.3550785860921,1.3570252353510015e-174
0.01197450151706906,-374.08116275278485,0.0,-374.08116275278485,1.784629463863966e-174
0.012155669875254991,-373.80323948470084,0.0,-373.80323948470084,2.3563977563131965e-174
0.012339579222196164,-373.52125162840014,0.0,-373.52125162840014,3.12402406370548e-174
0.012526271027713412,-373.2351412526002,0.0,-373.2351412526002,4.158823869404124e-174
0.012715787389045696,-372.9448496388207,0.0,-372.9448496388207,5.559587552900194e-174
0.01290817104034267,-372.6503172717894,0.0,-372.6503172717894,7.463737479794682e-174
0.013103465362300767,-372.35148383179853,0.0,-372.35148383179853,1.0063245544712433e-173
0.01330171439194516,-372.048288183571,0.0,-372.048288183571,1.3627439625829013e-173
0.013502962832559735,-371.74066836915216,0.0,-371.74066836915216,1.8535822183454174e-173
0.013707256063767194,-371.42856159442533,0.0,-371.42856159442533,2.5325504444543815e-173
0.013914640151761767,-371.1119042267676,0.0,-371.1119042267676,3.476007077260664e-173
0.014125161859696691,-370.7906317781921,0.0,-370.7906317781921,4.7930008236048796e-173
0.014338868658228901,-370.46467890252995,0.0,-370.46467890252995,6.639984091815644e-173
0.014555808736223148,-370.13397938290365,0.0,-370.13397938290365,9.242469273103189e-173
0.014776031011618162,-369.7984661236698,0.0,-369.7984661236698,1.2927054283597767e-172
0.014999585142457226,-369.4580711426598,0.0,-369.4580711426598,1.816900876517195e-172
0.015226521538085522,-369.11272556152784,0.0,-369.11272556152784,2.5663324455228972e-172
0.015456891370517013,-368.7623595966922,0.0,-368.7623595966922,3.6431321066531064e-172
0.01569074658597322,-368.4069025516576,0.0,-368.4069025516576,5.198139772635192e-172
0.01592813991659666,-368.0462828089953,0.0,-368.0462828089953,7.455265551818341e-172
0.01616912489234136,-367.680427821814,0.0,-367.680427821814,1.074860044995711e-171
0.01641375585304341,-367.3092641069161,0.0,-367.3092641069161,1.5579240179619355e-171
0.01666208796067411,-366.93271723649497,0.0,-366.93271723649497,2.270275177515578e-171
0.016914177211778396,-366.55071183241796,0.0,-366.55071183241796,3.326452603030652e-171
0.01717008045010159,-366.16317155891727,0.0,-366.16317155891727,4.901036558517336e-171
0.017429855379407094,-365.7700191141837,0.0,-365.7700191141837,7.261592591737329e-171
0.017693560576488108,-365.3711762302546,0.0,-365.3711762302546,1.082049535681941e-170
0.01796125550437605,-364.9665636605424,0.0,-364.9665636605424,1.6216911600348715e-170
0.018233000525748954,-364.5561011819415,0.0,-364.5561011819415,2.4447234527766662e-170
0.018508856916542738,-364.1397075852799,0.0,-364.1397075852799,3.707380660878994e-170
0.018788886879768242,-363.71730067576146,0.0,-363.71730067576146,5.6560881600048764e-170
0.019073153559537478,-363.2887972677877,0.0,-363.2887972677877,8.681861146040898e-170
0.019361721055302046,-362.8541131854894,0.0,-362.8541131854894,1.3408917969828606e-169
0.01965465443630694,-362.4131632604962,0.0,-362.4131632604962,2.0839910676638014e-169
0.01995201975626301,-361.9658613322286,0.0,-361.9658613322286,3.259542232367654e-169
0.020253884068241513,-361.51212024982067,0.0,-361.51212024982067,5.131139957362682e-169
0.020560315439793902,-361.0518518748485,0.0,-361.0518518748485,8.13028699260281e-169
0.020871382968300437,-360.58496708397536,0.0,-360.58496708397536,1.2967951108392928e-168
0.021187156796550994,-360.11137577558054,0.0,-360.11137577558054,2.0823295222720876e-168
0.02150770812856157,-359.63098687636636,0.0,-359.63098687636636,3.3665084158051604e-168
0.021833109245630172,-359.14370835009896,0.0,-359.14370835009896,5.480271563609776e-168
0.0221634335226355,-358.6494472083587,0.0,-358.6494472083587,8.983735689572124e-168
0.022498755444582356,-358.1481095232941,0.0,-358.1481095232941,1.4831502737602436e-167
0.022839150623397246,-357.6396004433658,0.0,-357.6396004433658,2.4661974460543426e-167
0.02318469581497821,-357.1238242121714,0.0,-357.1238242121714,4.130728154668444e-167
0.023535468936502536,-356.60068418560274,0.0,-356.60068418560274,6.969850159610244e-167
0.0238915490839963,-356.07008285672026,0.0,-356.07008285672026,1.1848426281582117e-166
0.024253016550169867,-355.5319218827241,0.0,-355.5319218827241,2.029462412435857e-166
0.024619952842523028,-354.986102114993,0.0,-354.986102114993,3.5028982744896744e-166
0.02499244070172427,-354.43252363322233,0.0,-354.43252363322233,6.093174352212087e-166
0.02537056412026797,-353.8710857837229,0.0,-353.8710857837229,1.0682501570191699e-165
0.025754408361413884,-353.301687222707,0.0,-353.301687222707,1.8878158078170566e-165
0.026144059978413278,-352.7242259648393,0.0,-352.7242259648393,3.363162533193268e-165
0.02653960683402578,-352.13859943560055,0.0,-352.13859943560055,6.040629876218281e-165
0.026941138120331692,-351.5447045315238,0.0,-351.5447045315238,1.0939752734010235e-164
0.02734874437884388,-350.94243768642986,0.0,-350.94243768642986,1.997876660477722e-164
0.0277625175209241,-350.331694944668,0.0,-350.331694944668,3.67968697929961e-164
0.028182550848508108,-349.7123720423798,0.0,-349.7123720423798,6.835643345276537e-164
0.028608939075144335,-349.0843644972473,0.0,-349.0843644972473,1.2809129207107498e-163
0.029041778347350982,-348.44756770757186,0.0,-348.44756770757186,2.4214579869303854e-163
0.029481166266296044,-347.8018770616078,0.0,-347.8018770616078,4.618456131874484e-163
