eta,alpha,loglik,logprior,logpost,posterior_weight
1.16,-4.657864116928039,-28436.4067700912,-0.0,-28436.4067700912,0.0
1.17,-4.662525213529847,-28412.483271123336,-0.0,-28412.483271123336,0.0
1.18,-4.667227606511943,-28388.814752268117,-0.0,-28388.814752268117,0.0
1.19,-4.6719711900381355,-28365.400500698866,-0.0,-28365.400500698866,0.0
1.2,-4.676755855351047,-28342.239785065514,-0.0,-28342.239785065514,0.0
1.21,-4.681581490806224,-28319.331855719658,-0.0,-28319.331855719658,0.0
1.22,-4.686447981898567,-28296.675944943785,-0.0,-28296.675944943785,0.0
1.23,-4.6913552113015555,-28274.271267185657,-0.0,-28274.271267185657,0.0
1.24,-4.696303058894529,-28252.11701929647,-0.0,-28252.11701929647,0.0
1.25,-4.701291401799352,-28230.21238077359,-0.0,-28230.21238077359,0.0
1.26,-4.706320114417082,-28208.55651400739,-0.0,-28208.55651400739,0.0
1.27,-4.7113890684595106,-28187.148564531704,-0.0,-28187.148564531704,0.0
1.28,-4.7164981329858335,-28165.987661278356,-0.0,-28165.987661278356,0.0
1.29,-4.721647174442722,-28145.072916835314,-0.0,-28145.072916835314,0.0
1.3,-4.726836056695021,-28124.40342770798,-0.0,-28124.40342770798,0.0
1.31,-4.732064641070082,-28103.978274584373,-0.0,-28103.978274584373,0.0
1.32,-4.737332786391875,-28083.796522602926,-0.0,-28083.796522602926,0.0
1.33,-4.742640349018501,-28063.857221623515,-0.0,-28063.857221623515,0.0
1.34,-4.74798718288568,-28044.159406501578,-0.0,-28044.159406501578,0.0
1.35,-4.7533731395425605,-28024.70209736451,-0.0,-28024.70209736451,0.0
1.36,-4.758798068194352,-28005.484299890966,-0.0,-28005.484299890966,0.0
1.37,-4.764261815740696,-27986.50500559232,-0.0,-27986.50500559232,0.0
1.38,-4.769764226816591,-27967.763192096438,-0.0,-27967.763192096438,0.0
1.39,-4.77530514383588,-27949.257823433676,-0.0,-27949.257823433676,0.0
1.4,-4.780884407031323,-27930.98785032458,-0.0,-27930.98785032458,0.0
1.41,-4.786501854494674,-27912.9522104694,-0.0,-27912.9522104694,0.0
1.42,-4.792157322222721,-27895.14982883942,-0.0,-27895.14982883942,0.0
1.43,-4.797850644158217,-27877.57961796956,-0.0,-27877.57961796956,0.0
1.44,-4.803581652231657,-27860.24047825228,-0.0,-27860.24047825228,0.0
1.45,-4.809350176406468,-27843.1312982328,-0.0,-27843.1312982328,0.0
1.46,-4.815156044719089,-27826.250954905092,-0.0,-27826.250954905092,0.0
1.47,-4.820999083325859,-27809.59831400902,-0.0,-27809.59831400902,1.2184e-320
1.48,-4.82687911654736,-27793.17223032809,-0.0,-27793.17223032809,1.6577163514e-313
1.49,-4.832795966906787,-27776.971547987447,-0.0,-27776.971547987447,1.8004338308245885e-306
1.5,-4.838749455180249,-27760.99510075286,-0.0,-27760.99510075286,1.5626439659839408e-299
1.51,-4.844739400439408,-27745.241712329665,-0.0,-27745.241712329665,1.0850998483111552e-292
