period,t_start,t_end,true_incidence,reported_incidence,eta,rep
1,0.0,7.0,215,215.0,2.0,1
2,7.0,14.0,763,763.0,2.0,1
3,14.0,21.0,15,15.0,2.0,1
4,21.0,28.0,4,4.0,2.0,1
5,28.0,35.0,0,0.0,2.0,1
6,35.0,42.0,0,0.0,2.0,1
7,42.0,49.0,0,0.0,2.0,1
8,49.0,56.0,0,0.0,2.0,1
9,56.0,63.0,0,0.0,2.0,1
10,63.0,70.0,0,0.0,2.0,1
11,70.0,77.0,0,0.0,2.0,1
12,77.0,84.0,0,0.0,2.0,1
13,84.0,91.0,0,0.0,2.0,1
14,91.0,98.0,0,0.0,2.0,1
15,98.0,105.0,0,0.0,2.0,1
16,105.0,112.0,0,0.0,2.0,1
17,112.0,119.0,0,0.0,2.0,1
18,119.0,126.0,0,0.0,2.0,1
19,126.0,133.0,0,0.0,2.0,1
20,133.0,140.0,0,0.0,2.0,1
21,140.0,147.0,0,0.0,2.0,1
1,0.0,7.0,516,516.0,2.0,2
2,7.0,14.0,465,465.0,2.0,2
3,14.0,21.0,14,14.0,2.0,2
4,21.0,28.0,0,0.0,2.0,2
5,28.0,35.0,2,2.0,2.0,2
6,35.0,42.0,0,0.0,2.0,2
7,42.0,49.0,0,0.0,2.0,2
8,49.0,56.0,0,0.0,2.0,2
9,56.0,63.0,0,0.0,2.0,2
10,63.0,70.0,0,0.0,2.0,2
11,70.0,77.0,0,0.0,2.0,2
12,77.0,84.0,0,0.0,2.0,2
13,84.0,91.0,0,0.0,2.0,2
14,91.0,98.0,0,0.0,2.0,2
15,98.0,105.0,0,0.0,2.0,2
16,105.0,112.0,0,0.0,2.0,2
17,112.0,119.0,0,0.0,2.0,2
18,119.0,126.0,0,0.0,2.0,2
19,126.0,133.0,0,0.0,2.0,2
20,133.0,140.0,0,0.0,2.0,2
21,140.0,147.0,0,0.0,2.0,2
1,0.0,7.0,563,563.0,2.0,3
2,7.0,14.0,427,427.0,2.0,3
3,14.0,21.0,6,6.0,2.0,3
4,21.0,28.0,1,1.0,2.0,3
5,28.0,35.0,0,0.0,2.0,3
6,35.0,42.0,0,0.0,2.0,3
7,42.0,49.0,0,0.0,2.0,3
8,49.0,56.0,0,0.0,2.0,3
9,56.0,63.0,0,0.0,2.0,3
10,63.0,70.0,0,0.0,2.0,3
11,70.0,77.0,0,0.0,2.0,3
12,77.0,84.0,0,0.0,2.0,3
13,84.0,91.0,0,0.0,2.0,3
14,91.0,98.0,0,0.0,2.0,3
15,98.0,105.0,0,0.0,2.0,3
16,105.0,112.0,0,0.0,2.0,3
17,112.0,119.0,0,0.0,2.0,3
18,119.0,126.0,0,0.0,2.0,3
19,126.0,133.0,0,0.0,2.0,3
20,133.0,140.0,0,0.0,2.0,3
21,140.0,147.0,0,0.0,2.0,3
1,0.0,7.0,478,478.0,2.0,4
2,7.0,14.0,510,510.0,2.0,4
3,14.0,21.0,9,9.0,2.0,4
4,21.0,28.0,0,0.0,2.0,4
5,28.0,35.0,0,0.0,2.0,4
6,35.0,42.0,0,0.0,2.0,4
7,42.0,49.0,0,0.0,2.0,4
8,49.0,56.0,0,0.0,2.0,4
9,56.0,63.0,0,0.0,2.0,4
10,63.0,70.0,0,0.0,2.0,4
11,70.0,77.0,0,0.0,2.0,4
12,77.0,84.0,0,0.0,2.0,4
13,84.0,91.0,0,0.0,2.0,4
14,91.0,98.0,0,0.0,2.0,4
15,98.0,105.0,0,0.0,2.0,4
16,105.0,112.0,0,0.0,2.0,4
17,112.0,119.0,0,0.0,2.0,4
18,119.0,126.0,0,0.0,2.0,4
19,126.0,133.0,0,0.0,2.0,4
20,133.0,140.0,0,0.0,2.0,4
21,140.0,147.0,0,0.0,2.0,4
1,0.0,7.0,420,420.0,2.0,5
2,7.0,14.0,560,560.0,2.0,5
3,14.0,21.0,15,15.0,2.0,5
4,21.0,28.0,1,1.0,2.0,5
5,28.0,35.0,0,0.0,2.0,5
6,35.0,42.0,0,0.0,2.0,5
7,42.0,49.0,0,0.0,2.0,5
8,49.0,56.0,0,0.0,2.0,5
9,56.0,63.0,0,0.0,2.0,5
10,63.0,70.0,0,0.0,2.0,5
11,70.0,77.0,0,0.0,2.0,5
12,77.0,84.0,0,0.0,2.0,5
13,84.0,91.0,0,0.0,2.0,5
14,91.0,98.0,0,0.0,2.0,5
15,98.0,105.0,0,0.0,2.0,5
16,105.0,112.0,0,0.0,2.0,5
17,112.0,119.0,0,0.0,2.0,5
18,119.0,126.0,0,0.0,2.0,5
19,126.0,133.0,0,0.0,2.0,5
20,133.0,140.0,0,0.0,2.0,5
21,140.0,147.0,0,0.0,2.0,5
1,0.0,7.0,423,423.0,2.0,6
2,7.0,14.0,563,563.0,2.0,6
3,14.0,21.0,11,11.0,2.0,6
4,21.0,28.0,0,0.0,2.0,6
5,28.0,35.0,0,0.0,2.0,6
6,35.0,42.0,0,0.0,2.0,6
7,42.0,49.0,0,0.0,2.0,6
8,49.0,56.0,0,0.0,2.0,6
9,56.0,63.0,0,0.0,2.0,6
10,63.0,70.0,0,0.0,2.0,6
11,70.0,77.0,0,0.0,2.0,6
12,77.0,84.0,0,0.0,2.0,6
13,84.0,91.0,0,0.0,2.0,6
14,91.0,98.0,0,0.0,2.0,6
15,98.0,105.0,0,0.0,2.0,6
16,105.0,112.0,0,0.0,2.0,6
17,112.0,119.0,0,0.0,2.0,6
18,119.0,126.0,0,0.0,2.0,6
19,126.0,133.0,0,0.0,2.0,6
20,133.0,140.0,0,0.0,2.0,6
21,140.0,147.0,0,0.0,2.0,6
1,0.0,7.0,337,337.0,2.0,7
2,7.0,14.0,642,642.0,2.0,7
3,14.0,21.0,17,17.0,2.0,7
4,21.0,28.0,1,1.0,2.0,7
5,28.0,35.0,0,0.0,2.0,7
6,35.0,42.0,0,0.0,2.0,7
7,42.0,49.0,0,0.0,2.0,7
8,49.0,56.0,0,0.0,2.0,7
9,56.0,63.0,0,0.0,2.0,7
10,63.0,70.0,0,0.0,2.0,7
11,70.0,77.0,0,0.0,2.0,7
12,77.0,84.0,0,0.0,2.0,7
13,84.0,91.0,0,0.0,2.0,7
14,91.0,98.0,0,0.0,2.0,7
15,98.0,105.0,0,0.0,2.0,7
16,105.0,112.0,0,0.0,2.0,7
17,112.0,119.0,0,0.0,2.0,7
18,119.0,126.0,0,0.0,2.0,7
19,126.0,133.0,0,0.0,2.0,7
20,133.0,140.0,0,0.0,2.0,7
21,140.0,147.0,0,0.0,2.0,7
1,0.0,7.0,205,205.0,2.0,8
2,7.0,14.0,761,761.0,2.0,8
3,14.0,21.0,25,25.0,2.0,8
4,21.0,28.0,4,4.0,2.0,8
5,28.0,35.0,0,0.0,2.0,8
6,35.0,42.0,0,0.0,2.0,8
7,42.0,49.0,1,1.0,2.0,8
8,49.0,56.0,0,0.0,2.0,8
9,56.0,63.0,0,0.0,2.0,8
10,63.0,70.0,0,0.0,2.0,8
11,70.0,77.0,0,0.0,2.0,8
12,77.0,84.0,0,0.0,2.0,8
13,84.0,91.0,0,0.0,2.0,8
14,91.0,98.0,0,0.0,2.0,8
15,98.0,105.0,0,0.0,2.0,8
16,105.0,112.0,0,0.0,2.0,8
17,112.0,119.0,0,0.0,2.0,8
18,119.0,126.0,0,0.0,2.0,8
19,126.0,133.0,0,0.0,2.0,8
20,133.0,140.0,0,0.0,2.0,8
21,140.0,147.0,0,0.0,2.0,8
1,0.0,7.0,439,439.0,2.0,9
2,7.0,14.0,544,544.0,2.0,9
3,14.0,21.0,12,12.0,2.0,9
4,21.0,28.0,1,1.0,2.0,9
5,28.0,35.0,0,0.0,2.0,9
6,35.0,42.0,0,0.0,2.0,9
7,42.0,49.0,0,0.0,2.0,9
8,49.0,56.0,0,0.0,2.0,9
9,56.0,63.0,0,0.0,2.0,9
10,63.0,70.0,0,0.0,2.0,9
11,70.0,77.0,0,0.0,2.0,9
12,77.0,84.0,0,0.0,2.0,9
13,84.0,91.0,0,0.0,2.0,9
14,91.0,98.0,0,0.0,2.0,9
15,98.0,105.0,0,0.0,2.0,9
16,105.0,112.0,0,0.0,2.0,9
