period,t_start,t_end,true_incidence,reported_incidence,outbreak_id
7,42.0,49.0,34,34.0,8
8,49.0,56.0,11,11.0,8
9,56.0,63.0,4,4.0,8
10,63.0,70.0,2,2.0,8
11,70.0,77.0,4,4.0,8
12,77.0,84.0,0,0.0,8
13,84.0,91.0,0,0.0,8
14,91.0,98.0,0,0.0,8
15,98.0,105.0,0,0.0,8
16,105.0,112.0,0,0.0,8
17,112.0,119.0,0,0.0,8
18,119.0,126.0,0,0.0,8
19,126.0,133.0,0,0.0,8
20,133.0,140.0,0,0.0,8
21,140.0,147.0,0,0.0,8
1,0.0,7.0,10,10.0,9
2,7.0,14.0,63,63.0,9
3,14.0,21.0,253,253.0,9
4,21.0,28.0,419,419.0,9
5,28.0,35.0,166,166.0,9
6,35.0,42.0,34,34.0,9
7,42.0,49.0,12,12.0,9
8,49.0,56.0,6,6.0,9
9,56.0,63.0,1,1.0,9
10,63.0,70.0,1,1.0,9
11,70.0,77.0,1,1.0,9
12,77.0,84.0,0,0.0,9
13,84.0,91.0,1,1.0,9
14,91.0,98.0,0,0.0,9
15,98.0,105.0,0,0.0,9
16,105.0,112.0,0,0.0,9
17,112.0,119.0,0,0.0,9
18,119.0,126.0,0,0.0,9
19,126.0,133.0,0,0.0,9
20,133.0,140.0,0,0.0,9
21,140.0,147.0,0,0.0,9
1,0.0,7.0,21,21.0,10
2,7.0,14.0,134,134.0,10
3,14.0,21.0,358,358.0,10
4,21.0,28.0,302,302.0,10
5,28.0,35.0,108,108.0,10
6,35.0,42.0,36,36.0,10
7,42.0,49.0,13,13.0,10
8,49.0,56.0,3,3.0,10
9,56.0,63.0,1,1.0,10
10,63.0,70.0,3,3.0,10
11,70.0,77.0,1,1.0,10
12,77.0,84.0,0,0.0,10
13,84.0,91.0,0,0.0,10
14,91.0,98.0,0,0.0,10
15,98.0,105.0,0,0.0,10
16,105.0,112.0,0,0.0,10
17,112.0,119.0,0,0.0,10
18,119.0,126.0,0,0.0,10
19,126.0,133.0,0,0.0,10
20,133.0,140.0,0,0.0,10
21,140.0,147.0,0,0.0,10
1,0.0,7.0,73,73.0,11
2,7.0,14.0,308,308.0,11
3,14.0,21.0,397,397.0,11
4,21.0,28.0,132,132.0,11
5,28.0,35.0,29,29.0,11
6,35.0,42.0,13,13.0,11
7,42.0,49.0,4,4.0,11
8,49.0,56.0,0,0.0,11
9,56.0,63.0,1,1.0,11
10,63.0,70.0,0,0.0,11
11,70.0,77.0,0,0.0,11
12,77.0,84.0,0,0.0,11
13,84.0,91.0,0,0.0,11
14,91.0,98.0,0,0.0,11
15,98.0,105.0,0,0.0,11
16,105.0,112.0,0,0.0,11
17,112.0,119.0,0,0.0,11
18,119.0,126.0,0,0.0,11
19,126.0,133.0,0,0.0,11
20,133.0,140.0,0,0.0,11
21,140.0,147.0,0,0.0,11
1,0.0,7.0,76,76.0,12
2,7.0,14.0,251,251.0,12
3,14.0,21.0,389,389.0,12
4,21.0,28.0,161,161.0,12
5,28.0,35.0,48,48.0,12
6,35.0,42.0,10,10.0,12
7,42.0,49.0,6,6.0,12
8,49.0,56.0,9,9.0,12
9,56.0,63.0,5,5.0,12
10,63.0,70.0,0,0.0,12
11,70.0,77.0,0,0.0,12
12,77.0,84.0,0,0.0,12
13,84.0,91.0,0,0.0,12
14,91.0,98.0,0,0.0,12
15,98.0,105.0,0,0.0,12
16,105.0,112.0,0,0.0,12
17,112.0,119.0,0,0.0,12
18,119.0,126.0,0,0.0,12
19,126.0,133.0,0,0.0,12
20,133.0,140.0,0,0.0,12
21,140.0,147.0,0,0.0,12
1,0.0,7.0,28,28.0,13
2,7.0,14.0,214,214.0,13
3,14.0,21.0,417,417.0,13
4,21.0,28.0,218,218.0,13
5,28.0,35.0,49,49.0,13
6,35.0,42.0,23,23.0,13
7,42.0,49.0,3,3.0,13
8,49.0,56.0,0,0.0,13
9,56.0,63.0,0,0.0,13
10,63.0,70.0,2,2.0,13
11,70.0,77.0,2,2.0,13
12,77.0,84.0,0,0.0,13
13,84.0,91.0,0,0.0,13
14,91.0,98.0,0,0.0,13
15,98.0,105.0,0,0.0,13
16,105.0,112.0,0,0.0,13
17,112.0,119.0,0,0.0,13
18,119.0,126.0,0,0.0,13
19,126.0,133.0,0,0.0,13
20,133.0,140.0,0,0.0,13
21,140.0,147.0,0,0.0,13
1,0.0,7.0,43,43.0,14
2,7.0,14.0,268,268.0,14
3,14.0,21.0,404,404.0,14
4,21.0,28.0,207,207.0,14
5,28.0,35.0,35,35.0,14
6,35.0,42.0,13,13.0,14
7,42.0,49.0,5,5.0,14
8,49.0,56.0,2,2.0,14
9,56.0,63.0,0,0.0,14
10,63.0,70.0,0,0.0,14
11,70.0,77.0,1,1.0,14
12,77.0,84.0,0,0.0,14
13,84.0,91.0,0,0.0,14
14,91.0,98.0,0,0.0,14
15,98.0,105.0,0,0.0,14
16,105.0,112.0,0,0.0,14
17,112.0,119.0,0,0.0,14
18,119.0,126.0,0,0.0,14
19,126.0,133.0,0,0.0,14
20,133.0,140.0,0,0.0,14
21,140.0,147.0,0,0.0,14
1,0.0,7.0,27,27.0,15
2,7.0,14.0,182,182.0,15
3,14.0,21.0,377,377.0,15
4,21.0,28.0,258,258.0,15
5,28.0,35.0,73,73.0,15
6,35.0,42.0,22,22.0,15
7,42.0,49.0,9,9.0,15
8,49.0,56.0,0,0.0,15
9,56.0,63.0,1,1.0,15
10,63.0,70.0,0,0.0,15
11,70.0,77.0,0,0.0,15
12,77.0,84.0,0,0.0,15
13,84.0,91.0,0,0.0,15
14,91.0,98.0,0,0.0,15
