period,t_start,t_end,true_incidence,reported_incidence,eta,rep
1,0.0,7.0,33,33.0,0.0,1
2,7.0,14.0,228,228.0,0.0,1
3,14.0,21.0,446,446.0,0.0,1
4,21.0,28.0,183,183.0,0.0,1
5,28.0,35.0,39,39.0,0.0,1
6,35.0,42.0,21,21.0,0.0,1
7,42.0,49.0,6,6.0,0.0,1
8,49.0,56.0,2,2.0,0.0,1
9,56.0,63.0,0,0.0,0.0,1
10,63.0,70.0,0,0.0,0.0,1
11,70.0,77.0,0,0.0,0.0,1
12,77.0,84.0,0,0.0,0.0,1
13,84.0,91.0,0,0.0,0.0,1
14,91.0,98.0,0,0.0,0.0,1
15,98.0,105.0,0,0.0,0.0,1
16,105.0,112.0,0,0.0,0.0,1
17,112.0,119.0,0,0.0,0.0,1
18,119.0,126.0,0,0.0,0.0,1
19,126.0,133.0,0,0.0,0.0,1
20,133.0,140.0,0,0.0,0.0,1
21,140.0,147.0,0,0.0,0.0,1
1,0.0,7.0,78,78.0,0.0,2
2,7.0,14.0,318,318.0,0.0,2
3,14.0,21.0,427,427.0,0.0,2
4,21.0,28.0,109,109.0,0.0,2
5,28.0,35.0,27,27.0,0.0,2
6,35.0,42.0,9,9.0,0.0,2
7,42.0,49.0,5,5.0,0.0,2
8,49.0,56.0,1,1.0,0.0,2
9,56.0,63.0,0,0.0,0.0,2
10,63.0,70.0,0,0.0,0.0,2
11,70.0,77.0,0,0.0,0.0,2
12,77.0,84.0,0,0.0,0.0,2
13,84.0,91.0,0,0.0,0.0,2
14,91.0,98.0,0,0.0,0.0,2
15,98.0,105.0,0,0.0,0.0,2
16,105.0,112.0,0,0.0,0.0,2
17,112.0,119.0,0,0.0,0.0,2
18,119.0,126.0,0,0.0,0.0,2
19,126.0,133.0,0,0.0,0.0,2
20,133.0,140.0,0,0.0,0.0,2
21,140.0,147.0,0,0.0,0.0,2
1,0.0,7.0,53,53.0,0.0,3
2,7.0,14.0,331,331.0,0.0,3
3,14.0,21.0,444,444.0,0.0,3
4,21.0,28.0,114,114.0,0.0,3
5,28.0,35.0,16,16.0,0.0,3
6,35.0,42.0,9,9.0,0.0,3
7,42.0,49.0,4,4.0,0.0,3
8,49.0,56.0,1,1.0,0.0,3
9,56.0,63.0,0,0.0,0.0,3
10,63.0,70.0,0,0.0,0.0,3
11,70.0,77.0,0,0.0,0.0,3
12,77.0,84.0,0,0.0,0.0,3
13,84.0,91.0,0,0.0,0.0,3
14,91.0,98.0,0,0.0,0.0,3
15,98.0,105.0,0,0.0,0.0,3
16,105.0,112.0,0,0.0,0.0,3
17,112.0,119.0,0,0.0,0.0,3
18,119.0,126.0,0,0.0,0.0,3
19,126.0,133.0,0,0.0,0.0,3
20,133.0,140.0,0,0.0,0.0,3
21,140.0,147.0,0,0.0,0.0,3
1,0.0,7.0,49,49.0,0.0,4
2,7.0,14.0,253,253.0,0.0,4
3,14.0,21.0,421,421.0,0.0,4
4,21.0,28.0,175,175.0,0.0,4
5,28.0,35.0,41,41.0,0.0,4
6,35.0,42.0,12,12.0,0.0,4
7,42.0,49.0,4,4.0,0.0,4
8,49.0,56.0,0,0.0,0.0,4
9,56.0,63.0,2,2.0,0.0,4
10,63.0,70.0,0,0.0,0.0,4
11,70.0,77.0,0,0.0,0.0,4
12,77.0,84.0,0,0.0,0.0,4
13,84.0,91.0,0,0.0,0.0,4
14,91.0,98.0,0,0.0,0.0,4
15,98.0,105.0,0,0.0,0.0,4
16,105.0,112.0,0,0.0,0.0,4
17,112.0,119.0,0,0.0,0.0,4
18,119.0,126.0,0,0.0,0.0,4
19,126.0,133.0,0,0.0,0.0,4
20,133.0,140.0,0,0.0,0.0,4
21,140.0,147.0,0,0.0,0.0,4
1,0.0,7.0,65,65.0,0.0,5
2,7.0,14.0,356,356.0,0.0,5
3,14.0,21.0,396,396.0,0.0,5
4,21.0,28.0,87,87.0,0.0,5
5,28.0,35.0,30,30.0,0.0,5
6,35.0,42.0,17,17.0,0.0,5
7,42.0,49.0,9,9.0,0.0,5
8,49.0,56.0,0,0.0,0.0,5
9,56.0,63.0,0,0.0,0.0,5
10,63.0,70.0,1,1.0,0.0,5
11,70.0,77.0,0,0.0,0.0,5
12,77.0,84.0,0,0.0,0.0,5
13,84.0,91.0,0,0.0,0.0,5
14,91.0,98.0,0,0.0,0.0,5
15,98.0,105.0,0,0.0,0.0,5
16,105.0,112.0,0,0.0,0.0,5
17,112.0,119.0,0,0.0,0.0,5
18,119.0,126.0,0,0.0,0.0,5
19,126.0,133.0,0,0.0,0.0,5
20,133.0,140.0,0,0.0,0.0,5
21,140.0,147.0,0,0.0,0.0,5
1,0.0,7.0,69,69.0,0.0,6
2,7.0,14.0,370,370.0,0.0,6
3,14.0,21.0,400,400.0,0.0,6
4,21.0,28.0,97,97.0,0.0,6
5,28.0,35.0,19,19.0,0.0,6
6,35.0,42.0,11,11.0,0.0,6
7,42.0,49.0,4,4.0,0.0,6
8,49.0,56.0,1,1.0,0.0,6
9,56.0,63.0,2,2.0,0.0,6
10,63.0,70.0,0,0.0,0.0,6
11,70.0,77.0,0,0.0,0.0,6
12,77.0,84.0,0,0.0,0.0,6
13,84.0,91.0,0,0.0,0.0,6
14,91.0,98.0,0,0.0,0.0,6
15,98.0,105.0,0,0.0,0.0,6
16,105.0,112.0,0,0.0,0.0,6
17,112.0,119.0,0,0.0,0.0,6
18,119.0,126.0,0,0.0,0.0,6
19,126.0,133.0,0,0.0,0.0,6
20,133.0,140.0,0,0.0,0.0,6
21,140.0,147.0,0,0.0,0.0,6
1,0.0,7.0,31,31.0,0.0,7
2,7.0,14.0,207,207.0,0.0,7
3,14.0,21.0,416,416.0,0.0,7
4,21.0,28.0,233,233.0,0.0,7
5,28.0,35.0,62,62.0,0.0,7
6,35.0,42.0,10,10.0,0.0,7
7,42.0,49.0,5,5.0,0.0,7
8,49.0,56.0,2,2.0,0.0,7
9,56.0,63.0,0,0.0,0.0,7
10,63.0,70.0,0,0.0,0.0,7
11,70.0,77.0,0,0.0,0.0,7
12,77.0,84.0,0,0.0,0.0,7
13,84.0,91.0,0,0.0,0.0,7
14,91.0,98.0,0,0.0,0.0,7
15,98.0,105.0,0,0.0,0.0,7
16,105.0,112.0,0,0.0,0.0,7
17,112.0,119.0,0,0.0,0.0,7
18,119.0,126.0,0,0.0,0.0,7
19,126.0,133.0,0,0.0,0.0,7
20,133.0,140.0,0,0.0,0.0,7
21,140.0,147.0,0,0.0,0.0,7
1,0.0,7.0,46,46.0,0.0,8
2,7.0,14.0,328,328.0,0.0,8
3,14.0,21.0,414,414.0,0.0,8
4,21.0,28.0,128,128.0,0.0,8
5,28.0,35.0,26,26.0,0.0,8
6,35.0,42.0,12,12.0,0.0,8
7,42.0,49.0,4,4.0,0.0,8
8,49.0,56.0,2,2.0,0.0,8
9,56.0,63.0,0,0.0,0.0,8
10,63.0,70.0,0,0.0,0.0,8
11,70.0,77.0,0,0.0,0.0,8
12,77.0,84.0,0,0.0,0.0,8
13,84.0,91.0,0,0.0,0.0,8
14,91.0,98.0,0,0.0,0.0,8
15,98.0,105.0,0,0.0,0.0,8
16,105.0,112.0,0,0.0,0.0,8
17,112.0,119.0,0,0.0,0.0,8
18,119.0,126.0,0,0.0,0.0,8
19,126.0,133.0,0,0.0,0.0,8
20,133.0,140.0,0,0.0,0.0,8
21,140.0,147.0,0,0.0,0.0,8
1,0.0,7.0,53,53.0,0.0,9
2,7.0,14.0,277,277.0,0.0,9
3,14.0,21.0,419,419.0,0.0,9
4,21.0,28.0,150,150.0,0.0,9
5,28.0,35.0,41,41.0,0.0,9
6,35.0,42.0,12,12.0,0.0,9
7,42.0,49.0,3,3.0,0.0,9
8,49.0,56.0,2,2.0,0.0,9
9,56.0,63.0,1,1.0,0.0,9
10,63.0,70.0,0,0.0,0.0,9
11,70.0,77.0,0,0.0,0.0,9
12,77.0,84.0,0,0.0,0.0,9
13,84.0,91.0,0,0.0,0.0,9
14,91.0,98.0,0,0.0,0.0,9
15,98.0,105.0,0,0.0,0.0,9
16,105.0,112.0,0,0.0,0.0,9
17,112.0,119.0,0,0.0,0.0,9
18,119.0,126.0,0,0.0,0.0,9
19,126.0,133.0,0,0.0,0.0,9
20,133.0,140.0,0,0.0,0.0,9
21,140.0,147.0,0,0.0,0.0,9
1,0.0,7.0,11,11.0,0.0,10
2,7.0,14.0,155,155.0,0.0,10
3,14.0,21.0,438,438.0,0.0,10
4,21.0,28.0,264,264.0,0.0,10
5,28.0,35.0,64,64.0,0.0,10
6,35.0,42.0,12,12.0,0.0,10
7,42.0,49.0,5,5.0,0.0,10
8,49.0,56.0,4,4.0,0.0,10
9,56.0,63.0,2,2.0,0.0,10
10,63.0,70.0,1,1.0,0.0,10
11,70.0,77.0,0,0.0,0.0,10
12,77.0,84.0,0,0.0,0.0,10
13,84.0,91.0,0,0.0,0.0,10
14,91.0,98.0,0,0.0,0.0,10
15,98.0,105.0,0,0.0,0.0,10
16,105.0,112.0,0,0.0,0.0,10
17,112.0,119.0,0,0.0,0.0,10
18,119.0,126.0,0,0.0,0.0,10
19,126.0,133.0,0,0.0,0.0,10
20,133.0,140.0,0,0.0,0.0,10
21,140.0,147.0,0,0.0,0.0,10
1,0.0,7.0,56,56.0,0.0,11
2,7.0,14.0,327,327.0,0.0,11
3,14.0,21.0,408,408.0,0.0,11
4,21.0,28.0,138,138.0,0.0,11
5,28.0,35.0,33,33.0,0.0,11
6,35.0,42.0,9,9.0,0.0,11
7,42.0,49.0,2,2.0,0.0,11
8,49.0,56.0,1,1.0,0.0,11
9,56.0,63.0,2,2.0,0.0,11
10,63.0,70.0,0,0.0,0.0,11
11,70.0,77.0,0,0.0,0.0,11
12,77.0,84.0,0,0.0,0.0,11
13,84.0,91.0,0,0.0,0.0,11
14,91.0,98.0,0,0.0,0.0,11
15,98.0,105.0,0,0.0,0.0,11
16,105.0,112.0,0,0.0,0.0,11
17,112.0,119.0,0,0.0,0.0,11
18,119.0,126.0,0,0.0,0.0,11
19,126.0,133.0,0,0.0,0.0,11
20,133.0,140.0,0,0.0,0.0,11
21,140.0,147.0,0,0.0,0.0,11
1,0.0,7.0,7,7.0,0.0,12
2,7.0,14.0,86,86.0,0.0,12
3,14.0,21.0,332,332.0,0.0,12
4,21.0,28.0,346,346.0,0.0,12
5,28.0,35.0,142,142.0,0.0,12
6,35.0,42.0,37,37.0,0.0,12
7,42.0,49.0,10,10.0,0.0,12
8,49.0,56.0,4,4.0,0.0,12
9,56.0,63.0,2,2.0,0.0,12
10,63.0,70.0,0,0.0,0.0,12
11,70.0,77.0,0,0.0,0.0,12
12,77.0,84.0,0,0.0,0.0,12
13,84.0,91.0,0,0.0,0.0,12
14,91.0,98.0,0,0.0,0.0,12
15,98.0,105.0,0,0.0,0.0,12
16,105.0,112.0,0,0.0,0.0,12
17,112.0,119.0,0,0.0,0.0,12
18,119.0,126.0,0,0.0,0.0,12
19,126.0,133.0,0,0.0,0.0,12
20,133.0,140.0,0,0.0,0.0,12
21,140.0,147.0,0,0.0,0.0,12
1,0.0,7.0,109,109.0,0.0,13
2,7.0,14.0,499,499.0,0.0,13
3,14.0,21.0,266,266.0,0.0,13
4,21.0,28.0,64,64.0,0.0,13
5,28.0,35.0,15,15.0,0.0,13
6,35.0,42.0,10,10.0,0.0,13
7,42.0,49.0,0,0.0,0.0,13
8,49.0,56.0,1,1.0,0.0,13
9,56.0,63.0,0,0.0,0.0,13
10,63.0,70.0,0,0.0,0.0,13
11,70.0,77.0,0,0.0,0.0,13
12,77.0,84.0,0,0.0,0.0,13
13,84.0,91.0,0,0.0,0.0,13
14,91.0,98.0,0,0.0,0.0,13
15,98.0,105.0,0,0.0,0.0,13
16,105.0,112.0,0,0.0,0.0,13
17,112.0,119.0,0,0.0,0.0,13
18,119.0,126.0,0,0.0,0.0,13
19,126.0,133.0,0,0.0,0.0,13
20,133.0,140.0,0,0.0,0.0,13
21,140.0,147.0,0,0.0,0.0,13
1,0.0,7.0,92,92.0,0.0,14
2,7.0,14.0,411,411.0,0.0,14
3,14.0,21.0,327,327.0,0.0,14
4,21.0,28.0,91,91.0,0.0,14
5,28.0,35.0,34,34.0,0.0,14
6,35.0,42.0,9,9.0,0.0,14
7,42.0,49.0,2,2.0,0.0,14
8,49.0,56.0,2,2.0,0.0,14
9,56.0,63.0,0,0.0,0.0,14
10,63.0,70.0,0,0.0,0.0,14
11,70.0,77.0,0,0.0,0.0,14
12,77.0,84.0,0,0.0,0.0,14
13,84.0,91.0,0,0.0,0.0,14
14,91.0,98.0,0,0.0,0.0,14
15,98.0,105.0,0,0.0,0.0,14
16,105.0,112.0,0,0.0,0.0,14
17,112.0,119.0,0,0.0,0.0,14
18,119.0,126.0,0,0.0,0.0,14
19,126.0,133.0,0,0.0,0.0,14
20,133.0,140.0,0,0.0,0.0,14
21,140.0,147.0,0,0.0,0.0,14
1,0.0,7.0,5,5.0,0.0,15
2,7.0,14.0,20,20.0,0.0,15
3,14.0,21.0,201,201.0,0.0,15
4,21.0,28.0,451,451.0,0.0,15
5,28.0,35.0,224,224.0,0.0,15
6,35.0,42.0,44,44.0,0.0,15
7,42.0,49.0,8,8.0,0.0,15
8,49.0,56.0,5,5.0,0.0,15
9,56.0,63.0,2,2.0,0.0,15
10,63.0,70.0,0,0.0,0.0,15
11,70.0,77.0,2,2.0,0.0,15
12,77.0,84.0,1,1.0,0.0,15
13,84.0,91.0,0,0.0,0.0,15
14,91.0,98.0,0,0.0,0.0,15
15,98.0,105.0,0,0.0,0.0,15
16,105.0,112.0,0,0.0,0.0,15
17,112.0,119.0,0,0.0,0.0,15
18,119.0,126.0,0,0.0,0.0,15
19,126.0,133.0,0,0.0,0.0,15
20,133.0,140.0,0,0.0,0.0,15
21,140.0,147.0,0,0.0,0.0,15
1,0.0,7.0,64,64.0,0.0,16
2,7.0,14.0,300,300.0,0.0,16
3,14.0,21.0,397,397.0,0.0,16
4,21.0,28.0,158,158.0,0.0,16
5,28.0,35.0,36,36.0,0.0,16
6,35.0,42.0,7,7.0,0.0,16
7,42.0,49.0,5,5.0,0.0,16
8,49.0,56.0,0,0.0,0.0,16
9,56.0,63.0,0,0.0,0.0,16
10,63.0,70.0,0,0.0,0.0,16
11,70.0,77.0,0,0.0,0.0,16
12,77.0,84.0,0,0.0,0.0,16
13,84.0,91.0,0,0.0,0.0,16
14,91.0,98.0,0,0.0,0.0,16
15,98.0,105.0,0,0.0,0.0,16
16,105.0,112.0,0,0.0,0.0,16
17,112.0,119.0,0,0.0,0.0,16
18,119.0,126.0,0,0.0,0.0,16
19,126.0,133.0,0,0.0,0.0,16
20,133.0,140.0,0,0.0,0.0,16
21,140.0,147.0,0,0.0,0.0,16
1,0.0,7.0,31,31.0,0.0,17
2,7.0,14.0,288,288.0,0.0,17
3,14.0,21.0,414,414.0,0.0,17
4,21.0,28.0,156,156.0,0.0,17
5,28.0,35.0,55,55.0,0.0,17
6,35.0,42.0,12,12.0,0.0,17
7,42.0,49.0,5,5.0,0.0,17
8,49.0,56.0,1,1.0,0.0,17
9,56.0,63.0,5,5.0,0.0,17
10,63.0,70.0,0,0.0,0.0,17
11,70.0,77.0,0,0.0,0.0,17
12,77.0,84.0,0,0.0,0.0,17
13,84.0,91.0,0,0.0,0.0,17
14,91.0,98.0,0,0.0,0.0,17
15,98.0,105.0,0,0.0,0.0,17
16,105.0,112.0,0,0.0,0.0,17
17,112.0,119.0,0,0.0,0.0,17
18,119.0,126.0,0,0.0,0.0,17
19,126.0,133.0,0,0.0,0.0,17
20,133.0,140.0,0,0.0,0.0,17
21,140.0,147.0,0,0.0,0.0,17
1,0.0,7.0,39,39.0,0.0,18
2,7.0,14.0,375,375.0,0.0,18
3,14.0,21.0,407,407.0,0.0,18
4,21.0,28.0,100,100.0,0.0,18
5,28.0,35.0,28,28.0,0.0,18
6,35.0,42.0,11,11.0,0.0,18
7,42.0,49.0,3,3.0,0.0,18
8,49.0,56.0,0,0.0,0.0,18
9,56.0,63.0,0,0.0,0.0,18
10,63.0,70.0,0,0.0,0.0,18
11,70.0,77.0,0,0.0,0.0,18
12,77.0,84.0,0,0.0,0.0,18
13,84.0,91.0,0,0.0,0.0,18
14,91.0,98.0,0,0.0,0.0,18
15,98.0,105.0,0,0.0,0.0,18
16,105.0,112.0,0,0.0,0.0,18
17,112.0,119.0,0,0.0,0.0,18
18,119.0,126.0,0,0.0,0.0,18
19,126.0,133.0,0,0.0,0.0,18
20,133.0,140.0,0,0.0,0.0,18
21,140.0,147.0,0,0.0,0.0,18
1,0.0,7.0,25,25.0,0.0,19
2,7.0,14.0,187,187.0,0.0,19
3,14.0,21.0,497,497.0,0.0,19
4,21.0,28.0,213,213.0,0.0,19
5,28.0,35.0,36,36.0,0.0,19
6,35.0,42.0,12,12.0,0.0,19
7,42.0,49.0,0,0.0,0.0,19
8,49.0,56.0,1,1.0,0.0,19
9,56.0,63.0,0,0.0,0.0,19
10,63.0,70.0,1,1.0,0.0,19
11,70.0,77.0,0,0.0,0.0,19
12,77.0,84.0,0,0.0,0.0,19
13,84.0,91.0,0,0.0,0.0,19
14,91.0,98.0,0,0.0,0.0,19
15,98.0,105.0,0,0.0,0.0,19
16,105.0,112.0,0,0.0,0.0,19
17,112.0,119.0,0,0.0,0.0,19
18,119.0,126.0,0,0.0,0.0,19
19,126.0,133.0,0,0.0,0.0,19
20,133.0,140.0,0,0.0,0.0,19
21,140.0,147.0,0,0.0,0.0,19
1,0.0,7.0,22,22.0,0.0,20
2,7.0,14.0,140,140.0,0.0,20
3,14.0,21.0,416,416.0,0.0,20
4,21.0,28.0,285,285.0,0.0,20
5,28.0,35.0,58,58.0,0.0,20
6,35.0,42.0,21,21.0,0.0,20
7,42.0,49.0,8,8.0,0.0,20
8,49.0,56.0,2,2.0,0.0,20
9,56.0,63.0,0,0.0,0.0,20
10,63.0,70.0,0,0.0,0.0,20
11,70.0,77.0,0,0.0,0.0,20
12,77.0,84.0,0,0.0,0.0,20
13,84.0,91.0,0,0.0,0.0,20
14,91.0,98.0,0,0.0,0.0,20
15,98.0,105.0,0,0.0,0.0,20
16,105.0,112.0,0,0.0,0.0,20
17,112.0,119.0,0,0.0,0.0,20
18,119.0,126.0,0,0.0,0.0,20
19,126.0,133.0,0,0.0,0.0,20
20,133.0,140.0,0,0.0,0.0,20
21,140.0,147.0,0,0.0,0.0,20
