period,t_start,t_end,true_incidence,reported_incidence,eta,rep
1,0.0,7.0,51,51.0,1.0,1
2,7.0,14.0,306,306.0,1.0,1
3,14.0,21.0,448,448.0,1.0,1
4,21.0,28.0,103,103.0,1.0,1
5,28.0,35.0,32,32.0,1.0,1
6,35.0,42.0,11,11.0,1.0,1
7,42.0,49.0,5,5.0,1.0,1
8,49.0,56.0,0,0.0,1.0,1
9,56.0,63.0,1,1.0,1.0,1
10,63.0,70.0,0,0.0,1.0,1
11,70.0,77.0,0,0.0,1.0,1
12,77.0,84.0,0,0.0,1.0,1
13,84.0,91.0,0,0.0,1.0,1
14,91.0,98.0,0,0.0,1.0,1
15,98.0,105.0,0,0.0,1.0,1
16,105.0,112.0,0,0.0,1.0,1
17,112.0,119.0,0,0.0,1.0,1
18,119.0,126.0,0,0.0,1.0,1
19,126.0,133.0,0,0.0,1.0,1
20,133.0,140.0,0,0.0,1.0,1
21,140.0,147.0,0,0.0,1.0,1
1,0.0,7.0,38,38.0,1.0,2
2,7.0,14.0,284,284.0,1.0,2
3,14.0,21.0,443,443.0,1.0,2
4,21.0,28.0,140,140.0,1.0,2
5,28.0,35.0,37,37.0,1.0,2
6,35.0,42.0,15,15.0,1.0,2
7,42.0,49.0,4,4.0,1.0,2
8,49.0,56.0,0,0.0,1.0,2
9,56.0,63.0,0,0.0,1.0,2
10,63.0,70.0,0,0.0,1.0,2
11,70.0,77.0,0,0.0,1.0,2
12,77.0,84.0,0,0.0,1.0,2
13,84.0,91.0,0,0.0,1.0,2
14,91.0,98.0,0,0.0,1.0,2
15,98.0,105.0,0,0.0,1.0,2
16,105.0,112.0,0,0.0,1.0,2
17,112.0,119.0,0,0.0,1.0,2
18,119.0,126.0,0,0.0,1.0,2
19,126.0,133.0,0,0.0,1.0,2
20,133.0,140.0,0,0.0,1.0,2
21,140.0,147.0,0,0.0,1.0,2
1,0.0,7.0,33,33.0,1.0,3
2,7.0,14.0,261,261.0,1.0,3
3,14.0,21.0,412,412.0,1.0,3
4,21.0,28.0,188,188.0,1.0,3
5,28.0,35.0,44,44.0,1.0,3
6,35.0,42.0,12,12.0,1.0,3
7,42.0,49.0,4,4.0,1.0,3
8,49.0,56.0,3,3.0,1.0,3
9,56.0,63.0,0,0.0,1.0,3
10,63.0,70.0,0,0.0,1.0,3
11,70.0,77.0,0,0.0,1.0,3
12,77.0,84.0,0,0.0,1.0,3
13,84.0,91.0,0,0.0,1.0,3
14,91.0,98.0,0,0.0,1.0,3
15,98.0,105.0,0,0.0,1.0,3
16,105.0,112.0,0,0.0,1.0,3
17,112.0,119.0,0,0.0,1.0,3
18,119.0,126.0,0,0.0,1.0,3
19,126.0,133.0,0,0.0,1.0,3
20,133.0,140.0,0,0.0,1.0,3
21,140.0,147.0,0,0.0,1.0,3
1,0.0,7.0,52,52.0,1.0,4
2,7.0,14.0,223,223.0,1.0,4
3,14.0,21.0,443,443.0,1.0,4
4,21.0,28.0,165,165.0,1.0,4
5,28.0,35.0,56,56.0,1.0,4
6,35.0,42.0,14,14.0,1.0,4
7,42.0,49.0,4,4.0,1.0,4
8,49.0,56.0,2,2.0,1.0,4
9,56.0,63.0,0,0.0,1.0,4
10,63.0,70.0,0,0.0,1.0,4
11,70.0,77.0,0,0.0,1.0,4
12,77.0,84.0,0,0.0,1.0,4
13,84.0,91.0,0,0.0,1.0,4
14,91.0,98.0,0,0.0,1.0,4
15,98.0,105.0,0,0.0,1.0,4
16,105.0,112.0,0,0.0,1.0,4
17,112.0,119.0,0,0.0,1.0,4
18,119.0,126.0,0,0.0,1.0,4
19,126.0,133.0,0,0.0,1.0,4
20,133.0,140.0,0,0.0,1.0,4
21,140.0,147.0,0,0.0,1.0,4
1,0.0,7.0,32,32.0,1.0,5
2,7.0,14.0,218,218.0,1.0,5
3,14.0,21.0,411,411.0,1.0,5
4,21.0,28.0,197,197.0,1.0,5
5,28.0,35.0,69,69.0,1.0,5
6,35.0,42.0,19,19.0,1.0,5
7,42.0,49.0,11,11.0,1.0,5
8,49.0,56.0,3,3.0,1.0,5
9,56.0,63.0,3,3.0,1.0,5
10,63.0,70.0,0,0.0,1.0,5
11,70.0,77.0,0,0.0,1.0,5
12,77.0,84.0,1,1.0,1.0,5
13,84.0,91.0,1,1.0,1.0,5
14,91.0,98.0,0,0.0,1.0,5
15,98.0,105.0,0,0.0,1.0,5
16,105.0,112.0,0,0.0,1.0,5
17,112.0,119.0,0,0.0,1.0,5
18,119.0,126.0,0,0.0,1.0,5
19,126.0,133.0,0,0.0,1.0,5
20,133.0,140.0,0,0.0,1.0,5
21,140.0,147.0,0,0.0,1.0,5
1,0.0,7.0,25,25.0,1.0,6
2,7.0,14.0,249,249.0,1.0,6
3,14.0,21.0,477,477.0,1.0,6
4,21.0,28.0,172,172.0,1.0,6
5,28.0,35.0,36,36.0,1.0,6
6,35.0,42.0,8,8.0,1.0,6
7,42.0,49.0,4,4.0,1.0,6
